device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,cpu_ms_per_report,bytes_per_report
99,1,1765497361,1765497361.1439698,False,False,0.0,5.433333333333334
99,2,1765497391,1765497391.1445663,False,False,0.0,5.433333333333334
99,3,1765497421,1765497421.1451073,False,False,0.0,5.433333333333334
99,4,1765497451,1765497451.1455884,False,False,0.0,5.433333333333334
99,5,1765497481,1765497481.1462386,False,False,0.0,5.433333333333334
99,6,1765497511,1765497511.1468816,False,False,0.0,5.433333333333334
99,7,1765497541,1765497541.1481667,False,False,0.0,5.433333333333334
99,8,1765497571,1765497571.148512,False,False,0.0,5.433333333333334
99,9,1765497601,1765497601.1488903,False,False,0.0,5.433333333333334
99,10,1765497601,1765497601.1588542,False,False,0.0,12.0
99,11,1765497631,1765497631.1499004,False,False,0.0,5.433333333333334
99,12,1765497661,1765497661.1498177,False,False,0.0,5.433333333333334
